id,title_clean,title_raw,company_name,naics_2022_6,naics_2022_6_name,soc_5,soc_5_name,min_edulevels_name,max_edulevels_name,employment_type_name,remote_type_name,salary,salary_from,salary_to,original_pay_period,city_name,state_name,skills_name,specialized_skills_name,software_skills_name,posted,expired,pay_period_parsed,salary_from_annual,salary_to_annual,salary_midpoint,skills_list,specialized_skills_list,software_skills_list,expired_date,state_name_clean
425634,Planning Analyst,Planning Analyst,Thewonderfulcompany,611400,Business Schools and Computer and Management Training,11-9021,Construction Managers,Associate's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Del Rey,California,"[""Analytical Skills""]",[],[],2026-06-01,,,,,,['Analytical Skills'],[],[],,California
424557,Business Analytics Lead Sr,Business Analytics Lead Sr,Careers.pnc.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Pittsburgh,Pennsylvania,"[""Analytics"", ""Business Analytics"", ""Business Intelligence""]","[""Analytics"", ""Business Analytics"", ""Business Intelligence""]",[],2026-06-02,,,,,,"['Analytics', 'Business Analytics', 'Business Intelligence']","['Analytics', 'Business Analytics', 'Business Intelligence']",[],,Pennsylvania
424569,Portfolio Analytics and Strategy Specialist - Power Platform,Portfolio Analytics and Strategy Specialist - Power Platform,Careers.pnc.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Bachelor's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Pittsburgh,Pennsylvania,"[""Analytics"", ""Business Strategies""]","[""Analytics"", ""Business Strategies""]",[],2026-06-02,,,,,,"['Analytics', 'Business Strategies']","['Analytics', 'Business Strategies']",[],,Pennsylvania
420502,Learning Analytics Service Manager,Learning Analytics Service Manager,Nyu,611400,Business Schools and Computer and Management Training,27-2011,Actors,Associate's degree,Doctoral or professional degree,Contract,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,New York,New York,"[""Analytics""]","[""Analytics""]",[],2026-06-02,,,,,,['Analytics'],['Analytics'],[],,New York
420456,Financial Analyst - Chemistry,Financial Analyst - Chemistry,Nyu,611400,Business Schools and Computer and Management Training,27-2011,Actors,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,New York,New York,"[""Budget Management""]","[""Budget Management""]",[],2026-06-02,,,,,,['Budget Management'],['Budget Management'],[],,New York
419169,Senior Procurement Analyst,Senior Procurement Analyst,Kipp,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,Contract,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Houston,Texas,"[""Accounts Payable""]","[""Accounts Payable""]",[],2026-06-02,,,,,,['Accounts Payable'],['Accounts Payable'],[],,Texas
419167,Senior Procurement Analyst,Senior Procurement Analyst,Kipp,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,Contract,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,San Antonio,Texas,"[""Accounts Payable""]","[""Accounts Payable""]",[],2026-06-02,,,,,,['Accounts Payable'],['Accounts Payable'],[],,Texas
419165,Senior Procurement Analyst,Senior Procurement Analyst,Kipp,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,Contract,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Austin,Texas,"[""Accounts Payable""]","[""Accounts Payable""]",[],2026-06-02,,,,,,['Accounts Payable'],['Accounts Payable'],[],,Texas
218035,Cannabis Data Analyst Administrator,Cannabis Data Analyst Administrator,Phat Panda,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,High school diploma or equivalent,Master's degree,Full Time,Unknown,From $35.6k per year,35600.0,35600.0,annual,WA,United States,"[""Basecamp"", ""Cannabis""]","[""Basecamp"", ""Cannabis""]",[],2026-06-03,,YEAR,35600.0,35600.0,35600.0,"['Basecamp', 'Cannabis']","['Basecamp', 'Cannabis']",[],,
418175,Senior ATGPAC Training Requirements and Policy Analyst,Senior ATGPAC Training Requirements and Policy Analyst,Sigmadefense,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,San Diego,California,,,,2026-06-03,,,,,,[],[],[],,California
418239,Management Analyst,Management Analyst,Sigmadefense,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Master's degree,"Full Time, Contract",Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Belcamp,Maryland,"[""Business Operations""]","[""Business Operations""]",[],2026-06-03,,,,,,['Business Operations'],['Business Operations'],[],,Maryland
200261,Risk Management Analyst,Risk Management Analyst,Vitas Healthcare,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Master's degree,Full Time,Unknown,,,,,FL,United States,,,,2026-06-04,,,,,,[],[],[],,
202967,"Manager, Marketing and Media Analytics","Manager, Marketing and Media Analytics",Tiffany,611400,Business Schools and Computer and Management Training,11-2021,Marketing Managers,Associate's degree,Bachelor's degree,,Unknown,$122.5k - $150k per year,122500.0,150000.0,annual,NY,United States,"[""Analytics"", ""Business Acumen"", ""Business Objectives""]","[""Analytics""]",[],2026-06-04,,YEAR,122500.0,150000.0,136250.0,"['Analytics', 'Business Acumen', 'Business Objectives']",['Analytics'],[],,
210863,Classified Cybersecurity Analyst,Classified Cybersecurity Analyst,Ngc,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,High school diploma or equivalent,Doctoral or professional degree,Full Time,Remote,$87.6k - $131.4k per year,87600.0,131400.0,annual,,,"[""Account Management"", ""Auditing""]","[""Account Management"", ""Auditing""]",[],2026-06-04,,YEAR,87600.0,131400.0,109500.0,"['Account Management', 'Auditing']","['Account Management', 'Auditing']",[],,
410740,"Manager, Marketing and Media Analytics","Manager, Marketing and Media Analytics",Eljs.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,11-2021,Marketing Managers,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,New York,New York,"[""Analytics"", ""Business Acumen"", ""Business Objectives""]","[""Analytics""]",[],2026-06-04,,,,,,"['Analytics', 'Business Acumen', 'Business Objectives']",['Analytics'],[],,New York
411829,Portfolio Analytics & Strategy Specialist - Marketing & Customer Analytics,Portfolio Analytics & Strategy Specialist - Marketing & Customer Analytics,Careers.pnc.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Wilmington,Delaware,"[""A/B Testing"", ""Analytics"", ""Business Decisions""]","[""A/B Testing"", ""Analytics"", ""Business Decisions""]",[],2026-06-04,,,,,,"['A/B Testing', 'Analytics', 'Business Decisions']","['A/B Testing', 'Analytics', 'Business Decisions']",[],,Delaware
409025,International Analytics Lead,International Analytics Lead (24 months fixed-term),Khan Academy,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,"Full Time, Temporary",Unknown,"USD 165,446 - 180,499 Yearly",165446.0,180499.0,annual,Mountain View,California,"[""Analytics"", ""Business Intelligence""]","[""Analytics"", ""Business Intelligence""]",[],2026-06-04,,YEAR,165446.0,180499.0,172972.5,"['Analytics', 'Business Intelligence']","['Analytics', 'Business Intelligence']",[],,California
409020,Senior Analyst,Senior Analyst (Compensation & Analytics),Forter,611400,Business Schools and Computer and Management Training,41-9012,Models,Associate's degree,Associate's degree,Full Time,Unknown,"USD 122,000 - 145,000 Yearly",122000.0,145000.0,annual,New York,New York,"[""Advising"", ""Analytical Skills"", ""Analytics""]","[""Analytics""]",[],2026-06-04,,YEAR,122000.0,145000.0,133500.0,"['Advising', 'Analytical Skills', 'Analytics']",['Analytics'],[],,New York
388867,Data & Analytics Enablement Analyst- Center of Excellence Lead,Data & Analytics Enablement Analyst- Center of Excellence Lead,Hcgn.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Bachelor's degree,,On-site,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,"[""Alteryx"", ""Analytics"", ""Business Priorities""]","[""Alteryx"", ""Analytics"", ""Business Priorities""]",[],2026-06-09,,,,,,"['Alteryx', 'Analytics', 'Business Priorities']","['Alteryx', 'Analytics', 'Business Priorities']",[],,
391493,Data Entry Analyst,Data Entry Analyst,Labella-Associates,611400,Business Schools and Computer and Management Training,27-2011,Actors,High school diploma or equivalent,Bachelor's degree,Full Time,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,New York,New York,,,,2026-06-09,,,,,,[],[],[],,New York
386252,Board Certified Behavior Analyst,Board Certified Behavior Analyst (BCBA),Healthpro-Rehab,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Postsecondary nondegree award,Master's degree,"Full Time, Part Time",Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Cameron,North Carolina,"[""Billing"", ""Board Certified Behavior Analyst (BCBA)""]","[""Billing""]",[],2026-06-09,,,,,,"['Billing', 'Board Certified Behavior Analyst (BCBA)']",['Billing'],[],,North Carolina
384205,Fraud Analyst,Fraud Analyst,Fetch,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Bachelor's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,"[""Accountability"", ""Case Management""]","[""Case Management""]",[],2026-06-09,,,,,,"['Accountability', 'Case Management']",['Case Management'],[],,
383630,"Cybersecurity Analyst, IT Operations","Cybersecurity Analyst, IT Operations",Fors Marsh,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,Associate's degree,Bachelor's degree,Contract,Remote,"USD 110,000 - 125,000 Yearly",110000.0,125000.0,annual,,,"[""Access Controls"", ""Active Directory"", ""Analytical Skills""]","[""Access Controls"", ""Active Directory""]",[],2026-06-09,,YEAR,110000.0,125000.0,117500.0,"['Access Controls', 'Active Directory', 'Analytical Skills']","['Access Controls', 'Active Directory']",[],,
380722,Executive Analyst,Executive Analyst,Iazuqy.fa.ocs.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Bachelor's degree,,On-site,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,San Francisco,California,"[""Accounting"", ""Active Listening"", ""Administrative Functions"", ""Advising"", ""Carpet Cleaning""]","[""Accounting"", ""Carpet Cleaning""]",[],2026-06-10,,,,,,"['Accounting', 'Active Listening', 'Administrative Functions', 'Advising', 'Carpet Cleaning']","['Accounting', 'Carpet Cleaning']",[],,California
380741,"Manager, Data and Analytics","Manager, Data and Analytics",Eguq.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,15-1243,Database Architects,Postsecondary nondegree award,Bachelor's degree,,On-site,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Coppell,Texas,"[""Advanced Analytics"", ""Airflow"", ""Analytics"", ""Architecture Strategy"", ""Azure Data Lake"", ""Azure Databricks"", ""Business Requirements""]","[""Advanced Analytics"", ""Airflow"", ""Analytics"", ""Architecture Strategy"", ""Azure Data Lake"", ""Azure Databricks"", ""Business Requirements""]",[],2026-06-10,,,,,,"['Advanced Analytics', 'Airflow', 'Analytics', 'Architecture Strategy', 'Azure Data Lake', 'Azure Databricks', 'Business Requirements']","['Advanced Analytics', 'Airflow', 'Analytics', 'Architecture Strategy', 'Azure Data Lake', 'Azure Databricks', 'Business Requirements']",[],,Texas
378977,Vice President of GTM Analytics and Business Intelligence,Vice President of GTM Analytics and Business Intelligence,Tricentis,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Master's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': 'YEAR', 'summary': ''}",,,annual,,Austin,"[""Analytics"", ""Anomaly Detection"", ""Applied Statistics"", ""BigQuery"", ""Business Acumen"", ""Business Intelligence""]","[""Analytics"", ""Anomaly Detection"", ""Applied Statistics"", ""BigQuery"", ""Business Intelligence""]",[],2026-06-10,,YEAR,,,,"['Analytics', 'Anomaly Detection', 'Applied Statistics', 'BigQuery', 'Business Acumen', 'Business Intelligence']","['Analytics', 'Anomaly Detection', 'Applied Statistics', 'BigQuery', 'Business Intelligence']",[],,Texas
377335,Sales Analyst,Sales Analyst,Bimbo Bakeries USA,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,La Vergne,Tennessee,"[""Analytics"", ""Baking""]","[""Analytics"", ""Baking""]",[],2026-06-10,,,,,,"['Analytics', 'Baking']","['Analytics', 'Baking']",[],,Tennessee
376830,Senior Incident Response Analyst,Senior Incident Response Analyst (R-19347),Dnb,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,Center Valley Pennsylvania,"[""Analytical Thinking"", ""Analytics"", ""Automation""]","[""Analytics"", ""Automation""]",[],2026-06-10,,,,,,"['Analytical Thinking', 'Analytics', 'Automation']","['Analytics', 'Automation']",[],,Pennsylvania
373040,Release Management Analyst,Release Management Analyst,Jpmc.fa.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Bachelor's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Newark,Delaware,,,,2026-06-11,,,,,,[],[],[],,Delaware
373631,Senior ITS Traffic Analyst,Senior ITS Traffic Analyst,Ebcs.fa.em2.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Bachelor's degree,"Full Time, Part Time",Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Miami,Florida,"[""Budgeting""]",[],[],2026-06-11,,,,,,['Budgeting'],[],[],,Florida
374169,"Strategy & Analytics Lead Analyst, C&CE - Evernorth","Strategy & Analytics Lead Analyst, C&CE - Evernorth",Jobs.thecignagroup.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Bachelor's degree,Bachelor's degree,,Remote,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,Remote,"[""Analytics"", ""Business Case""]","[""Analytics"", ""Business Case""]",[],2026-06-11,,,,,,"['Analytics', 'Business Case']","['Analytics', 'Business Case']",[],,
375619,Data Analyst,Data Analyst,Sand-Cherry-Associates-1,611400,Business Schools and Computer and Management Training,27-2011,Actors,Associate's degree,Master's degree,Contract,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Denver,Colorado,"[""Alteryx"", ""Analytics"", ""Business Decisions""]","[""Alteryx"", ""Analytics"", ""Business Decisions""]",[],2026-06-11,,,,,,"['Alteryx', 'Analytics', 'Business Decisions']","['Alteryx', 'Analytics', 'Business Decisions']",[],,Colorado
375830,Data Scientist,Data Scientist,Sigmadefense,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Master's degree,Master's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,San Diego,California,"[""Algorithms"", ""Analytics"", ""Business Acumen""]","[""Algorithms"", ""Analytics""]",[],2026-06-11,,,,,,"['Algorithms', 'Analytics', 'Business Acumen']","['Algorithms', 'Analytics']",[],,California
370688,Senior System Analyst,Senior System Analyst,Nyu,611400,Business Schools and Computer and Management Training,27-2011,Actors,Postsecondary nondegree award,Master's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,New York,New York,"["".NET Framework"", ""Analytical Skills"", ""Blackbaud CRM"", ""Business Logic"", ""Business Requirements""]","["".NET Framework"", ""Blackbaud CRM"", ""Business Logic"", ""Business Requirements""]",[],2026-06-11,,,,,,"['.NET Framework', 'Analytical Skills', 'Blackbaud CRM', 'Business Logic', 'Business Requirements']","['.NET Framework', 'Blackbaud CRM', 'Business Logic', 'Business Requirements']",[],,New York
369932,Implementation and Client Analytics Manager,Implementation and Client Analytics Manager,Tpreducationllc,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Bachelor's degree,,Remote,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,Remote,"[""Analytics""]","[""Analytics""]",[],2026-06-11,,,,,,['Analytics'],['Analytics'],[],,
368827,Senior ITS Traffic Analyst,Senior ITS Traffic Analyst,Arcadis,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Bachelor's degree,"Full Time, Part Time",Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Miami,Florida,"[""Budgeting""]",[],[],2026-06-11,,,,,,['Budgeting'],[],[],,Florida
368824,Senior Traffic Analyst,Senior Traffic Analyst,Arcadis,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Master's degree,"Full Time, Part Time",Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Orlando,Florida,,,,2026-06-11,,,,,,[],[],[],,Florida
365100,"Analyst III, Technical Support","Analyst III, Technical Support",Emcm.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,High school diploma or equivalent,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Newtown,Pennsylvania,,,,2026-06-12,,,,,,[],[],[],,Pennsylvania
367752,Digital Sales Analytics and Optimization Product Manager,Digital Sales Analytics and Optimization Product Manager,Careers.regions.com,611400,Business Schools and Computer and Management Training,11-2021,Marketing Managers,High school diploma or equivalent,Bachelor's degree,,On-site,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Hoover,Alabama,"[""Analytics"", ""Banking"", ""Business Case""]","[""Analytics"", ""Banking"", ""Business Case""]",[],2026-06-12,,,,,,"['Analytics', 'Banking', 'Business Case']","['Analytics', 'Banking', 'Business Case']",[],,Alabama
368273,Missiles C4I Analyst - TS/SCI,Missiles C4I Analyst - TS/SCI,Globaldllc,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Quantico,Virginia,,,,2026-06-12,,,,,,[],[],[],,Virginia
362584,Financial Analyst,Financial Analyst,Nyit,611400,Business Schools and Computer and Management Training,27-2011,Actors,Associate's degree,Doctoral or professional degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Old Westbury,New York,"[""Accounting"", ""Bargaining"", ""Biology"", ""Budget Analysis"", ""Budget Development"", ""Budgeting"", ""Business Administration""]","[""Accounting"", ""Bargaining"", ""Biology"", ""Budget Analysis"", ""Budget Development""]",[],2026-06-12,,,,,,"['Accounting', 'Bargaining', 'Biology', 'Budget Analysis', 'Budget Development', 'Budgeting', 'Business Administration']","['Accounting', 'Bargaining', 'Biology', 'Budget Analysis', 'Budget Development']",[],,New York
361590,Director of People Analytics,Director of People Analytics,Kipp,611400,Business Schools and Computer and Management Training,41-9012,Models,Associate's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Philadelphia,Pennsylvania,"[""Analytics"", ""Auditing"", ""BigQuery"", ""Business Intelligence""]","[""Analytics"", ""Auditing"", ""BigQuery"", ""Business Intelligence""]",[],2026-06-12,,,,,,"['Analytics', 'Auditing', 'BigQuery', 'Business Intelligence']","['Analytics', 'Auditing', 'BigQuery', 'Business Intelligence']",[],,Pennsylvania
338091,Data Analyst HR Intern,Data Analyst HR Intern,Elitedentalpartnersllc,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Bachelor's degree,Internship,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Chicago,Illinois,"[""Analytical Thinking"", ""Analytics"", ""Applicant Tracking Systems"", ""Business Administration""]","[""Analytics"", ""Applicant Tracking Systems""]",[],2026-06-16,,,,,,"['Analytical Thinking', 'Analytics', 'Applicant Tracking Systems', 'Business Administration']","['Analytics', 'Applicant Tracking Systems']",[],,Illinois
335245,Technology Support Analyst,Technology Support Analyst,Ekkt.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,27-2011,Actors,High school diploma or equivalent,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Pasadena,California,"[""Asset Management"", ""Azure MFA"", ""Business Technologies""]","[""Asset Management"", ""Azure MFA"", ""Business Technologies""]",[],2026-06-17,,,,,,"['Asset Management', 'Azure MFA', 'Business Technologies']","['Asset Management', 'Azure MFA', 'Business Technologies']",[],,California
336868,Portfolio Analytics & Strategy Analyst,Portfolio Analytics & Strategy Analyst,Careers.pnc.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Bachelor's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Pittsburgh,Pennsylvania,"[""Advanced Analytics"", ""Analytics"", ""Business Decisions""]","[""Advanced Analytics"", ""Analytics"", ""Business Decisions""]",[],2026-06-17,,,,,,"['Advanced Analytics', 'Analytics', 'Business Decisions']","['Advanced Analytics', 'Analytics', 'Business Decisions']",[],,Pennsylvania
326700,Marketing Analytics and Reporting Analyst,Marketing Analytics and Reporting Analyst,Uniteklearning,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Tempe,Arizona,"[""Analytics"", ""Automation"", ""Business Intelligence"", ""Business Metrics""]","[""Analytics"", ""Automation"", ""Business Intelligence"", ""Business Metrics""]",[],2026-06-17,,,,,,"['Analytics', 'Automation', 'Business Intelligence', 'Business Metrics']","['Analytics', 'Automation', 'Business Intelligence', 'Business Metrics']",[],,Arizona
326379,Director - Customer Analytics,Director - Customer Analytics,Careers.united.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Chicago,Illinois,"[""Analytics"", ""Business Decisions""]","[""Analytics"", ""Business Decisions""]",[],2026-06-17,,,,,,"['Analytics', 'Business Decisions']","['Analytics', 'Business Decisions']",[],,Illinois
321278,MIS Analyst III,MIS Analyst III,Aceelectric,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,High school diploma or equivalent,Bachelor's degree,Full Time,On-site,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Valdosta,Georgia,"[""Adaptability"", ""Autodesk"", ""Business Efficiency"", ""Business Problems""]","[""Autodesk"", ""Business Efficiency"", ""Business Problems""]",[],2026-06-18,,,,,,"['Adaptability', 'Autodesk', 'Business Efficiency', 'Business Problems']","['Autodesk', 'Business Efficiency', 'Business Problems']",[],,Georgia
325753,Ground Systems Analyst - TS/SCI,Ground Systems Analyst - TS/SCI,Globaldllc,611400,Business Schools and Computer and Management Training,27-2011,Actors,Associate's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Quantico,Virginia,"[""Advocacy"", ""Capability Development""]","[""Capability Development""]",[],2026-06-18,,,,,,"['Advocacy', 'Capability Development']",['Capability Development'],[],,Virginia
320821,Director of Enterprise Data & Analytics,Director of Enterprise Data & Analytics,Yext,611400,Business Schools and Computer and Management Training,15-1243,Database Architects,Associate's degree,Master's degree,Full Time,Unknown,"USD 217,000 - 325,000 Yearly",217000.0,325000.0,annual,New York,New York,"[""Analytics"", ""Business Intelligence"", ""Business Problems""]","[""Analytics"", ""Business Intelligence"", ""Business Problems""]",[],2026-06-18,,YEAR,217000.0,325000.0,271000.0,"['Analytics', 'Business Intelligence', 'Business Problems']","['Analytics', 'Business Intelligence', 'Business Problems']",[],,New York
318311,Pricing Analyst - Transcon,Pricing Analyst - Transcon (Ground/Domestic),Expeditors,611400,Business Schools and Computer and Management Training,27-3041,Editors,Associate's degree,Associate's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Ellenwood,Georgia,,,,2026-06-18,,,,,,[],[],[],,Georgia
316819,Lead Airport Agent - Central Analyst,Lead Airport Agent - Central Analyst,Envoyair,611400,Business Schools and Computer and Management Training,27-2011,Actors,High school diploma or equivalent,Associate's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Dallas Fort Worth (Dfw) Airport,Texas,,,,2026-06-18,,,,,,[],[],[],,Texas
353034,Product Management Business Analyst,Product Management Business Analyst,Ebxr.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Master's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Jersey City,New Jersey,"[""Business Requirements""]","[""Business Requirements""]",[],2026-06-15,,,,,,['Business Requirements'],['Business Requirements'],[],,New Jersey
353738,Business Analyst- RCS Litigation Support,Business Analyst- RCS Litigation Support,Ekcm.fa.us6.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Doctoral or professional degree,Contract,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Indianapolis,Indiana,"[""Business Intelligence"", ""Cancer""]","[""Business Intelligence"", ""Cancer""]",[],2026-06-15,,,,,,"['Business Intelligence', 'Cancer']","['Business Intelligence', 'Cancer']",[],,Indiana
349661,Claims Operations Analyst,Claims Operations Analyst,Michfb,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Lansing,Michigan,"[""Analytics"", ""Appraisals"", ""Business Requirements""]","[""Analytics"", ""Appraisals"", ""Business Requirements""]",[],2026-06-15,,,,,,"['Analytics', 'Appraisals', 'Business Requirements']","['Analytics', 'Appraisals', 'Business Requirements']",[],,Michigan
349201,Data Scientist 1,Data Scientist 1,Adswerveinc,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,Full Time,Remote,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,Remote,"[""Algorithms"", ""Analytical Thinking"", ""Analytics"", ""Big Data"", ""BigQuery""]","[""Algorithms"", ""Analytics"", ""Big Data"", ""BigQuery""]",[],2026-06-15,,,,,,"['Algorithms', 'Analytical Thinking', 'Analytics', 'Big Data', 'BigQuery']","['Algorithms', 'Analytics', 'Big Data', 'BigQuery']",[],,
